a,character,columns
182365,11995,182738
182366,12146,182738
182367,12297,182738
182368,12288,182702
182369,12416,182702
182370,12750,182702
182371,12901,182702
182372,13052,182702
182373,13203,182702
182374,13354,182702
182375,13505,182702
182376,13630,182676
182377,13440,182666
182378,13568,182666
182379,13696,182666
182380,13824,182666
182381,13952,182666
182382,14080,182666
182383,14208,182666
182384,14336,182666
182385,14464,182666
182386,14592,182666
182387,14720,182666
182388,14848,182666
182389,14976,182666
182390,15104,182666
182391,15232,182666
182392,15360,182666
182393,15488,182666
182394,16374,182666
182395,16525,182666
182396,16676,182666
182397,16827,182666
182398,16978,182666
182399,17129,182666
182400,17280,182666
182401,17431,182666
182402,17582,182666
182403,17733,182666
182404,17884,182666
182405,18035,182666
182406,18186,182652
182407,18337,182652
182408,18488,182652
182409,18639,182652
182410,18790,182652
182411,18941,182652
182412,19092,182652
182413,19243,182652
182414,19394,182652
182415,19545,182652
182416,19696,182652
182417,19847,182652
182418,19998,182652
182419,20149,182652
182420,20300,182652
182421,20451,182652
182422,20602,182652
182423,20753,182652
182424,20904,182652
182425,21055,182652
182426,21206,182652
182427,21357,182652
182428,21508,182652
182429,21642,182635
182430,70592,182626
182431,70624,182626
182432,70656,182626
182433,70688,182626
182434,70720,182626
182435,70752,182626
182436,70784,182626
182437,70816,182626
182438,70848,182626
182439,70880,182626
182440,70912,182626
182441,70944,182626
182442,70976,182626
182443,71008,182626
182444,24952,182638
182445,24978,182638
182446,25004,182638
182447,25030,182638
182448,25056,182638
182449,25082,182638
182450,25108,182638
182451,25134,182638
182452,77572,182652
182453,73443,182662
182454,73498,182662
182455,73553,182662
182456,73608,182662
182457,73663,182662
182458,73718,182662
182459,73773,182662
182460,73828,182662
182461,73883,182662
182462,27742,182674
182463,27791,182674
182464,27840,182674
182465,27889,182674
182466,27938,182674
182467,27987,182674
182468,28036,182674
182469,28085,182674
182470,28134,182674
182471,28183,182674
182472,28232,182674
182473,28303,182674
182474,28454,182674
182475,28605,182674
182476,28756,182674
182477,28907,182674
182478,29058,182674
182479,29209,182674
182480,29360,182670
182481,29511,182670
182482,29662,182670
182483,29813,182670
182484,29964,182670
182485,80905,182647
182486,81006,182647
182487,81107,182647
182488,81208,182647
182489,81309,182647
182490,81410,182647
182491,81511,182647
182492,81612,182647
182493,81713,182647
182494,81814,182647
182495,81915,182647
182496,82016,182647
182497,29457,182634
182498,29506,182634
182499,29555,182634
182500,29604,182634
182501,29653,182634
182502,29702,182634
182503,29751,182634
182504,29800,182634
182505,29849,182634
182506,29952,182634
182507,30080,182634
182508,30208,182634
182509,30336,182634
182510,30464,182634
182511,30592,182634
182512,30720,182634
182513,30848,182634
182514,87335,182653
182515,87476,182670
182516,87600,182670
182517,87724,182670
182518,87848,182670
182519,87972,182670
182520,88096,182670
182521,88220,182670
182522,88344,182670
182523,36784,182651
182524,36800,182651
182525,36816,182651
182526,36832,182651
182527,36848,182651
182528,36864,182651
182529,36880,182651
182530,36910,182651
182531,37061,182651
182532,37212,182651
182533,37363,182651
182534,35248,182634
182535,35320,182634
182536,35392,182634
182537,35464,182634
182538,39606,182651
182539,87791,182670
182540,87836,182670
182541,87881,182670
