v,count
479,30166
480,44902
481,36780
482,44028
483,34070
484,50074
485,33966
486,47590
487,39586
488,46225
489,37126
490,55126
491,34730
492,51526
493,42630
494,49842
495,40032
496,56728
497,39560
498,55141
499,44744
500,53652
501,42364
502,62965
503,40232
504,58606
505,49920
506,56467
507,45880
508,65268
509,44594
510,63920
511,50978
512,61671
513,49028
514,70545
515,47074
516,66267
517,56814
518,65342
519,51930
520,75099
521,50478
522,72711
523,58852
524,68814
525,57518
526,79716
527,53684
528,75938
529,63638
530,75414
531,58478
532,85771
533,58322
534,81152
535,67554
536,77765
537,65364
538,90815
539,60568
540,87654
541,71304
542,85152
543,67306
544,95643
545,67308
546,91792
547,76848
548,88229
549,73014
550,103530
551,68458
552,98551
553,82144
554,95196
555,77040
556,106925
557,76206
558,104476
559,85474
560,101691
561,81944
562,116211
563,77696
564,110092
565,93934
566,106266
567,87786
568,121134
569,84390
570,118562
571,95534
572,114499
573,93226
574,129422
575,89544
576,122474
577,105404
578,120182
579,97624
580,137067
581,94860
582,133500
583,107884
584,126606
585,106470
586,143974
587,100474
588,138822
589,116864
590,136129
591,108322
592,153359
593,107590
594,147281
595,123294
596,141138
597,119116
598,161593
599,111002
600,157023
601,129414
602,152672
603,123268
604,168663
605,122126
606,163186
607,137586
608,158340
609,132406
610,182130
611,123032
612,174808
613,145552
614,168239
615,138930
616,187870
617,136684
618,182728
619,151270
620,178508
621,146448
622,201970
623,139392
624,192771
625,163516
626,185663
627,155150
628,209426
629,150190
630,206161
631,167706
632,197521
633,164130
634,221495
635,157406
636,212465
637,182786
638,207661
639,169992
640,234040
641,165652
642,228774
643,186778
644,217846
645,184886
646,243010
647,174534
648,237079
649,200332
650,232297
651,188118
652,259071
653,184866
654,249652
655,209672
656,239576
657,204734
658,270999
659,191576
660,263832
661,219586
662,256559
663,210452
664,282750
665,208084
666,274812
667,230484
668,265968
669,223798
670,301719
671,210164
672,292120
673,244652
674,279308
675,234824
676,309759
677,230048
678,303728
679,253150
680,296286
681,245102
682,331016
683,233946
684,318777
685,271660
686,307341
687,259318
688,341490
689,250362
690,337348
691,276704
692,325816
693,273194
694,361097
695,259666
696,347930
697,298928
698,339105
699,282280
700,379415
701,274298
702,369805
703,305698
704,353974
705,303654
706,392507
707,287836
708,384505
709,323960
710,375220
711,307844
712,415574
713,302918
714,403085
715,339550
716,385174
717,332516
718,432049
719,312270
720,424649
721,354272
722,411449
723,339182
724,449678
725,336112
726,438685
727,371124
728,425320
729,361698
730,474924
731,339710
732,463615
733,390438
734,444700
735,377148
736,489489
737,366768
738,481385
739,401832
740,469060
741,392626
742,519404
743,374768
744,501082
745,429200
746,483581
747,412354
748,535623
749,398714
750,529475
751,435026
752,511207
753,431782
754,561373
755,412978
756,545177
757,469018
758,527949
759,445792
760,587521
761,432496
762,576043
763,479006
764,552111
765,474500
766,606669
767,450750
768,596167
769,505304
770,581916
771,483034
772,637552
773,473644
774,621947
775,525688
776,597143
777,518324
778,662654
779,484806
780,652782
781,546256
782,632003
783,528700
784,688407
785,521848
786,669795
787,570916
788,651348
789,558452
790,723197
791,526958
792,709415
793,595618
794,679041
795,579438
796,743378
797,565264
798,733315
799,614694
800,710833
801,601950
802,783001
803,575768
804,761935
805,653482
806,733997
807,627478
808,806573
809,608350
810,799396
811,662474
812,772198
813,658314
814,838914
815,629170
816,820783
817,707870
818,797083
819,677158
820,879509
821,653304
822,863530
823,720332
824,829471
825,717688
826,905606
827,682078
828,889980
829,758530
830,868119
831,728884
832,948770
833,713932
834,926876
835,783586
836,890974
837,777062
838,980539
839,731258
840,970206
841,815296
842,935291
843,791538
844,1016045
845,778854
846,994759
847,848784
848,966679
849,829912
850,1064252
851,785896
852,1046327
853,883618
854,1003236
855,862630
856,1087931
857,840170
858,1076995
859,908280
860,1048277
861,893724
862,1145931
863,851006
864,1118673
865,959586
866,1076029
867,928734
868,1179142
869,899416
870,1165520
871,972530
872,1128706
873,968702
874,1222500
875,927856
876,1199400
877,1030394
878,1161838
879,993350
880,1275426
881,962778
882,1256522
883,1053366
884,1202888
885,1049096
886,1307769
887,999080
888,1293156
889,1104198
890,1258769
891,1061546
892,1368053
893,1040632
894,1340392
895,1139290
896,1290478
897,1129872
898,1406111
899,1064574
900,1398030
901,1179676
902,1351172
903,1150356
904,1459149
905,1125216
906,1430582
907,1222794
908,1390783
909,1203630
910,1521587
911,1139360
912,1496138
913,1271072
914,1437778
915,1244626
916,1556401
917,1212292
918,1541435
919,1299386
920,1499893
921,1284664
922,1629242
923,1228708
924,1597206
925,1373206
926,1531586
927,1333396
928,1673690
929,1289418
930,1659911
931,1390104
932,1606675
933,1381808
934,1730748
935,1327594
936,1703670
937,1468570
938,1650180
939,1420678
940,1796265
941,1375176
942,1775165
943,1495594
944,1706548
945,1494478
946,1844785
947,1418618
948,1827206
949,1561276
950,1776671
951,1510794
952,1924833
953,1478988
954,1884105
955,1608372
956,1818573
957,1598504
958,1975312
959,1511600
960,1965727
961,1658118
962,1896597
963,1625056
964,2041628
965,1592638
966,2006932
967,1721824
968,1945043
969,1696476
970,2119799
971,1608642
972,2097359
973,1783440
974,2013137
975,1744308
976,2168487
977,1701066
978,2151122
979,1823162
980,2095216
981,1803594
982,2257156
983,1725036
984,2222349
985,1915698
986,2137295
987,1867320
988,2321327
989,1799704
990,2304789
991,1936876
992,2231808
993,1934386
994,2395186
995,1855284
996,2356333
997,2039448
998,2285904
999,1979404
1000,2484885
1001,1917042
1002,2455805
1003,2068244
1004,2362694
1005,2073640
1006,2541087
1007,1976914
1008,2524482
1009,2160244
1010,2444056
1011,2098528
1012,2643582
1013,2052526
1014,2597152
1015,2223220
1016,2506992
1017,2205358
1018,2708762
1019,2092832
1020,2699579
1021,2288440
1022,2606856
1023,2246252
1024,2790325
1025,2197908
1026,2752605
1027,2365932
1028,2673400
1029,2338122
1030,2896966
1031,2212106
1032,2869855
1033,2444034
1034,2755292
1035,2403536
1036,2959657
1037,2340648
1038,2931049
1039,2497540
1040,2859178
1041,2474558
1042,3072923
1043,2370924
1044,3033131
1045,2610048
1046,2913764
1047,2555154
1048,3152671
1049,2469890
1050,3135468
1051,2645248
1052,3029915
1053,2641462
1054,3242760
1055,2536364
1056,3206282
1057,2776468
1058,3106748
1059,2693408
1060,3361186
1061,2612148
1062,3326816
1063,2816754
1064,3204157
1065,2822744
1066,3423191
1067,2691974
1068,3412504
1069,2928766
1070,3311172
1071,2855798
1072,3563369
1073,2781006
1074,3504837
1075,3004992
1076,3386162
1077,2993756
1078,3646837
1079,2841562
1080,3630365
1081,3090750
1082,3510065
1083,3040540
1084,3754764
1085,2974340
1086,3703274
1087,3179452
